O1810P36,nanE-6,nanE-6,nan,nan,2021-08-15 16:16:35
O1810P36,nanE-6,nanE-6,nan,nan,2021-08-15 16:16:35
O1810P34,2.054054E-6,1046.937509E-6,6.827881966897005,8.1881640915826,2021-08-15 16:17:02
O1810P32,2.052727E-6,1259.777555E-6,7.19558044242883,8.631297308447731,2021-08-15 16:17:31
C1310P28,1.144389E-6,6023.008023E-6,6.797102253696779,8.224546447511182,2021-08-15 16:17:40
CO210P40,0.998203E-6,4602.426045E-6,6.477689545255042,7.958673032895442,2021-08-15 16:17:51
O1810P30,2.122418E-6,1310.581697E-6,7.9836719105690825,9.762326209937347,2021-08-15 16:18:00
CO210P38,1.796143E-6,1998.466232E-6,7.037263747558274,8.451538140912511,2021-08-15 16:18:17
O1810P28,1.861383E-6,1734.059180E-6,7.471327375044203,9.100146296338137,2021-08-15 16:18:26
CO210P36,1.386620E-6,2302.280376E-6,6.929804626325461,8.490158864615854,2021-08-15 16:18:42
O1810P26,2.093206E-6,1269.336218E-6,9.280315445831821,11.011276151799757,2021-08-15 16:18:53
CO210P34,1.667785E-6,710.532394E-6,7.062968962413553,8.410976022627164,2021-08-15 16:19:08
O1810P24,1.446963E-6,2947.170936E-6,8.63044105408941,10.462658083650574,2021-08-15 16:19:18
CO210P32,1.679103E-6,1515.195482E-6,7.413344636713211,8.782223705984096,2021-08-15 16:19:35
O1810P22,2.201954E-6,376.677067E-6,8.203281332321435,9.800248751547658,2021-08-15 16:19:45
CO210P30,1.985575E-6,443.825160E-6,8.608109639139773,10.02239764868812,2021-08-15 16:20:01
O1810P20,1.960304E-6,1445.193710E-6,9.16887284144686,10.787881477069881,2021-08-15 16:20:11
CO210P28,2.023898E-6,773.019101E-6,6.9369082690907256,8.448754208690511,2021-08-15 16:20:27
O1810P18,1.393026E-6,2431.087421E-6,8.634203940356292,10.249623409675241,2021-08-15 16:20:37
CO210P26,2.056013E-6,1526.802666E-6,6.8492235536095905,8.291264086003642,2021-08-15 16:20:52
O1810P16,2.157880E-6,1232.183176E-6,9.017209785763415,10.81214503511465,2021-08-15 16:21:04
CO210P24,2.058217E-6,1262.915261E-6,6.2068404837763245,7.562944324929896,2021-08-15 16:21:17
O1810P14,2.282660E-6,1420.772136E-6,8.537616112660148,10.402341680302646,2021-08-15 16:21:30
CO210P22,2.112257E-6,1523.900843E-6,6.363724613854456,7.891277826932348,2021-08-15 16:21:42
O1810P12,2.294526E-6,586.394528E-6,8.180722380557512,9.717233974588204,2021-08-15 16:21:55
CO210P20,2.118572E-6,3025.035447E-6,6.222866456754626,7.524312753166951,2021-08-15 16:22:07
C1310P22,1.200562E-6,5630.578698E-6,9.240795343766072,10.35361859821908,2021-08-15 16:22:19
O1810P10,2.160359E-6,3036.551083E-6,8.542877655450384,10.54923055226184,2021-08-15 16:22:30
CO210P18,2.132540E-6,5349.769656E-6,6.3966246552244,7.869762456383308,2021-08-15 16:22:40
O1810P08,2.250518E-6,743.914825E-6,6.506837030362077,7.998555389477491,2021-08-15 16:22:53
C1310P20,1.187901E-6,6487.330138E-6,7.612899106037329,9.32617051022951,2021-08-15 16:23:03
CO210P16,2.058826E-6,1530.705474E-6,6.6227247504731555,8.286016622465961,2021-08-15 16:23:14
O1810R08,2.437462E-6,941.046489E-6,7.40646803804792,9.015129872918338,2021-08-15 16:23:24
CO210P14,nanE-6,nanE-6,nan,nan,2021-08-15 16:23:28
CO210P14,nanE-6,nanE-6,nan,nan,2021-08-15 16:23:28
O1810R10,2.324103E-6,1734.195674E-6,8.35586935011037,10.677828466444339,2021-08-15 16:23:53
CO210P12,2.205828E-6,491.952373E-6,8.229278757265861,9.60278623285593,2021-08-15 16:24:04
O1810R12,2.429702E-6,766.526351E-6,8.100805558773251,9.811768114730997,2021-08-15 16:24:19
CO210P10,2.210576E-6,4567.155637E-6,6.191163397674082,7.677671493781971,2021-08-15 16:24:30
